Symbol,date,expiry,open,close,Strike_Price,Spot_Price,Risk_Free_Intrest,Time,Volatility,LTP,BS_Call,MC_Call,FD_Call,C(T+1),C_BS(T+1),C_MC(T+1),C_FD(T+1)
BANKNIFTY,21-Mar-2013,28-Mar-2013,225,165.55,11238.35,11200.0,0.00094,0.01917808219,0.316966537,159.1,225.1211644,225.5668336,222.1526769,130.85,374.8535197,375.8302047,370.3584167
BANKNIFTY,21-Mar-2013,28-Mar-2013,450,500.0,11238.35,10900.0,0.00094,0.01917808219,0.3021920534,500,413.7255673,417.4038514,408.3210013,400.0,526.1727976,525.1379655,517.2878976
BANKNIFTY,21-Mar-2013,28-Mar-2013,-,1748.3,11238.35,10800.0,0.00094,0.01917808219,0.2965962847,-,491.8695881,501.6594252,485.4005415,1748.3,817.749909,827.136157,807.4842471
BANKNIFTY,25-Mar-2013,28-Mar-2013,68,25.25,11125.65,11400.0,0.00094,0.008219178082,0.3149481031,26,36.5994855,36.64609665,36.11390525,8.5,54.22185822,55.48923876,53.93359621
BANKNIFTY,25-Mar-2013,28-Mar-2013,98.9,45.9,11125.65,11300.0,0.00094,0.008219178082,0.3241204912,46,64.41107553,64.69828157,63.88637528,21.7,139.3546831,139.450469,138.3143705
BANKNIFTY,25-Mar-2013,28-Mar-2013,272.8,128.65,11125.65,11100.0,0.00094,0.008219178082,0.3092128016,133.9,141.3254306,141.5660844,140.0703869,102.45,89.53498472,90.9502691,88.92229841
BANKNIFTY,25-Mar-2013,28-Mar-2013,154.3,78.55,11125.65,11200.0,0.00094,0.008219178082,0.316966537,79.5,97.15020296,96.68172826,96.06599121,47.6,209.2443086,212.1436594,207.9141224
BANKNIFTY,25-Mar-2013,28-Mar-2013,399.95,202.45,11125.65,11000.0,0.00094,0.008219178082,0.3187654855,211,204.7067841,208.5004274,202.7772003,179.05,285.5047887,285.576279,283.803819
BANKNIFTY,25-Mar-2013,28-Mar-2013,450,238.9,11125.65,10900.0,0.00094,0.008219178082,0.3021920534,206.4,270.7850325,269.0077939,268.4982861,304.95,568.0785986,571.6011511,564.9343784
BANKNIFTY,25-Mar-2013,28-Mar-2013,-,775.0,11125.65,10600.0,0.00094,0.008219178082,0.2358923918,775,533.3465033,537.6632914,528.6850851,520.0,468.4870736,471.3669104,465.3533464
BANKNIFTY,25-Mar-2013,28-Mar-2013,575,475.0,11125.65,10700.0,0.00094,0.008219178082,0.2357976487,475,435.4387557,436.2957988,430.8466394,475.0,374.7267217,369.7995567,372.7402358
BANKNIFTY,25-Mar-2013,28-Mar-2013,390,375.0,11125.65,10800.0,0.00094,0.008219178082,0.2965962847,375,351.702329,353.6975243,349.0078784,375.0,668.0144147,671.9900345,665.3464981
BANKNIFTY,01-Apr-2013,25-Apr-2013,151.05,174.3,11425.55,11600.0,0.00094,0.06575342466,0.3575321198,168,364.9108882,378.6964963,359.5625944,213.5,451.4387434,457.8498184,448.317131
BANKNIFTY,01-Apr-2013,25-Apr-2013,191.05,219.35,11425.55,11500.0,0.00094,0.06575342466,0.3592135596,215,412.3522881,416.0734574,407.4902829,267.05,314.3552222,307.5158789,307.1917977
BANKNIFTY,01-Apr-2013,25-Apr-2013,118.1,133.55,11425.55,11700.0,0.00094,0.06575342466,0.3218359157,129.4,281.9936059,294.1583684,274.1427213,164.05,454.3709862,465.9678235,445.553435
BANKNIFTY,01-Apr-2013,25-Apr-2013,250.1,275.75,11425.55,11400.0,0.00094,0.06575342466,0.3149481031,268,410.2559154,417.7949309,397.9813859,325.1,522.3691436,524.6236646,513.7791664
BANKNIFTY,01-Apr-2013,25-Apr-2013,315.6,335.95,11425.55,11300.0,0.00094,0.06575342466,0.3241204912,329,474.603141,491.2157104,463.4257607,394.85,576.7734926,578.6541235,566.4725222
BANKNIFTY,01-Apr-2013,25-Apr-2013,340,401.9,11425.55,11200.0,0.00094,0.06575342466,0.316966537,395,524.6182498,536.4440155,511.0726118,457.75,635.5286827,638.1399802,623.6565132
BANKNIFTY,01-Apr-2013,25-Apr-2013,435,478.1,11425.55,11100.0,0.00094,0.06575342466,0.3092128016,475.25,578.8271738,587.6095381,562.8693961,538.9,850.1344438,856.7939706,833.4931845
